数据日期,客户编号,客户编号转码,客户名称,合同流水号,合同编号,年初风险分类名称,最新风险分类结果,年初风险分类,最新风险分类,最新风险五级分类,合同期限(年),短中长期贷款标识,客户所属省/市,业务品种大类,分区日期: [yyyyMMdd],一级分行名称,账务机构代码,账务机构名称,账务机构全路径,合同账务机构,合同状态,合同到期日期,合同经办人,实际发放日期,实际到期日期,合同终结日期,授信申请流水号,债项审批通知书流水号,主体通知书流水号,债项额度编号,授信协议额度流水号,授信协议通知书流水号,授信协议合同流水号,是否占用额度,占用额度客户编号,额度占用方角色,额度占用方债项审批通知书流水号,占用债项授信额度流水号,第三方额度流水号,第三方额度审批通知书流水号,占用第三方额度客户编号,基准利率代号,浮动类型,计息方式,计息周期,源系统业务品种名称,业务品种名称,业务类别名称,产品代码,发生类型,货币种类,还款方式名称,主要担保方式名称,国标行业投向代码,国标行业投向名称,本行投向代码,相关科目代码,相关科目名称,委托人客户类型,客户考核分类,客户考核预分类,经济类型代码,所在行政区划名称,控股类型（企业出资人经济成分）,首次风险分类时间,最新风险分类时间,系统控制类型,系统控制模板类型,合同模式标识,数据来源系统代码,战略新兴产业类型代码,战略新兴产业类型名称,承诺业务品种,汇率（本外币折人民币）,客户所属集团名称,客户所属集团,客户所属国标行业名称,贷款余额(万元),合同金额(万元)
2026-06-30,900000000083,A00083,中恒制造集团有限公司,2022123100011G4,138582069008-7,0102--正常2,0103--正常3,正常,正常,正常,3.0,中期,山东省,公司固定贷款,2026-06-30,济南分行,00113,济南市城南支行,"0108001,0140001,370102,00113",00113,302--已生效终止下柜,2025-12-28,JB6245,2022-12-31,2026-01-27,2026-01-31,zxsq2022123100011WH,tz20221231000116B,tz20221228000115O,FXQYF700L89590636822414511284938484744948,XYED2022123100000011,xytz2022123100011FT,xyht2022123100011ND,1--是,900000000083,01--融资人,tz20221231000116B,FXQYF700L89590636822414511284938484744948,,,,14802D01,0--浮动值浮动,1--不分段计息,0--按月计息,项目贷款,1010203--项目贷款,2001--单一债项,105020300,0100--正常申请,01--人民币,0101--分期等额本金,30102--商业用房抵押,C3525,C3525--模具制造,31,113201,113201--普通中期贷款,企业法人,风险客户,风险,149,370102--山东省--济南市--历下区,A0102--国有绝对控股,2023-01-09 17:33:19,2025-08-30 10:30:10,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,4,4-生物产业,1010203--项目贷款,1.0,,无,C3525--模具制造,0.0,1709.52
2026-06-30,900000000035,A00035,星海材料有限公司,20220225000127H,227005876179-9,0103--正常3,0101--正常1,正常,正常,正常,2.0,中期,湖南省,公司固定贷款,2026-06-30,长沙分行,00116,长沙市营业部,"0108001,0140001,430104,00116",00116,302--已生效终止下柜,2024-02-25,JB1080,2022-02-25,2024-04-25,2024-05-23,zxsq2022022500012MT,tz2022022500012OF,tz2022021100012V9,FXQYF560L93389772023207455676793328162785,XYED2022022500000012,xytz2022022500012WS,xyht2022022500012L0,1--是,900000000035,01--融资人,tz2022022500012OF,FXQYF560L93389772023207455676793328162785,,,,14802D01,0--浮动值浮动,1--不分段计息,0--按月计息,其他固定资产贷款,1010299--其他固定资产贷款,2001--单一债项,105029900,0100--正常申请,01--人民币,02--到期还款,30201--商业用地土地使用权抵押,C4028,C4028--电子测量仪器制造,20,113201,113201--普通中期贷款,企业法人,重点客户,价值,149,430104--湖南省--长沙市--岳麓区,A0102--国有绝对控股,2022-04-26 08:59:14,2025-10-25 09:15:39,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,2,2-高端装备制造产业,1010299--其他固定资产贷款,1.0,新科产业集团有限公司,有,C4028--电子测量仪器制造,0.0,1643.19
2026-06-30,900000000060,A00060,鼎盛医药有限公司,2025020400013A4,964221188890-6,0101--正常1,0103--正常3,正常,正常,正常,10.0,长期,安徽省,公司固定贷款,2026-06-30,合肥分行,00117,合肥市中心支行,"0108001,0140001,340104,00117",00117,301--已生效待下柜,2035-02-04,JB2393,2025-02-04,2035-04-05,,zxsq2025020400013KB,tz2025020400013S2,tz2025011600013R4,FXQYF503L07661693235212895076294834394615,XYED2025020400000013,xytz202502040001307,xyht20250204000139I,1--是,900000000060,01--融资人,tz2025020400013S2,FXQYF503L07661693235212895076294834394615,,,,14802D01,0--浮动值浮动,1--不分段计息,2--按年计息,其他固定资产贷款,1010299--其他固定资产贷款,2001--单一债项,105029900,0100--正常申请,01--人民币,0101--分期等额本金,201--公司法人保证,C3511,C3511--矿山机械制造,68,113301,113301--普通长期贷款,企业法人,成长客户,潜力,110,340104--安徽省--合肥市--蜀山区,A0102--国有绝对控股,2025-02-10 16:35:05,2026-05-01 11:41:04,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,1,1-新一代信息技术产业,1010299--其他固定资产贷款,1.0,,无,C3511--矿山机械制造,1809.89,2878.27
2026-06-30,900000000041,A00041,众联食品集团有限公司,2023122300014CV,123551140325-1,0400--可疑,0101--正常1,不良,正常,正常,2.0,中期,湖北省,公司流动贷款,2026-06-30,武汉分行,00120,武汉市城北支行,"0108001,0140001,420106,00120",00120,302--已生效终止下柜,2025-12-23,JB0436,2023-12-23,2026-02-21,2026-03-05,zxsq2023122300014DW,tz2023122300014N0,tz2023120600014DN,FXQYF611L50750835999323382723509873693219,XYED2023122300000014,xytz2023122300014R7,xyht2023122300014LJ,1--是,900000000041,01--融资人,tz2023122300014N0,FXQYF611L50750835999323382723509873693219,,,,14802D01,0--浮动值浮动,1--不分段计息,1--按季计息,公司流动资金贷款,10101--公司流动资金贷款,2002--组合债项,105030000,0800--循环贷续作,01--人民币,0101--分期等额本金,30101--住房抵押,M7340,M7340--医学研究和试验发展,10,113201,113201--普通中期贷款,企业法人,成长客户,潜力,120,420106--湖北省--武汉市--武昌区,B0101--私人相对控股,2024-02-01 12:57:52,2025-04-19 15:18:49,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,3,3-新材料产业,10101--公司流动资金贷款,1.0,星海产业集团有限公司,有,M7340--医学研究和试验发展,0.0,6958.96
2026-06-30,900000000024,A00024,瑞达商贸有限公司,202209170001531,682239568610-3,0101--正常1,0101--正常1,正常,正常,正常,5.0,中期,贵州省,公司固定贷款,2026-06-30,贵阳分行,00130,贵阳市中心支行,"0108001,0140001,520115,00130",00130,301--已生效待下柜,2027-09-17,JB5031,2022-09-17,2027-10-17,,zxsq2022091700015YY,tz2022091700015U0,tz2022090300015AT,FXQYF369L47785615031780117321983108990889,,,,1--是,900000000024,01--融资人,tz2022091700015U0,FXQYF369L47785615031780117321983108990889,,,,01700Y01,0--浮动值浮动,4--满月分段计息,1--按季计息,其他固定资产贷款,1010299--其他固定资产贷款,2002--组合债项,105029900,0100--正常申请,01--人民币,02--到期还款,30103--办公用房抵押,C1469,C1469--其他调味品、发酵制品制造,52,113201,113201--普通中期贷款,企业法人,成长客户,潜力,149,520115--贵州省--贵阳市--观山湖区,A0201--集体相对控股,2022-11-03 18:54:42,2025-05-15 11:44:03,0008--主合同(企金合同),1001--传统企金业务模板,1,CREDIT,0,0-不属于战略性新兴产业,1010299--其他固定资产贷款,1.0,新科产业集团有限公司,有,C1469--其他调味品、发酵制品制造,1050.86,2212.34
2026-06-30,900000000068,A00068,华盛商贸集团有限公司,2022050500016G1,455908333834-5,0102--正常2,0101--正常1,正常,正常,正常,3.0,中期,甘肃省,公司固定贷款,2026-06-30,兰州分行,00118,兰州市中心支行,"0108001,0140001,620102,00118",00118,302--已生效终止下柜,2025-05-05,JB6771,2022-05-05,2025-06-04,2025-06-14,zxsq2022050500016GN,tz2022050500016AK,tz20220428000164U,FXQYF370L11941110920996761712009449983449,,,,1--是,900000000068,01--融资人,tz2022050500016AK,FXQYF370L11941110920996761712009449983449,,,,01700Y01,0--浮动值浮动,4--满月分段计息,3--利随本清,其他固定资产贷款,1010299--其他固定资产贷款,2001--单一债项,105029900,0301--重组-借新还旧（变更主体）,14--美元,02--到期还款,40904--商业承兑汇票质押,E4790,E4790--其他房屋建筑业,46,113201,113201--普通中期贷款,企业法人,风险客户,风险,149,620102--甘肃省--兰州市--城关区,A0102--国有绝对控股,2022-07-28 15:33:22,2025-12-24 17:20:45,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,1010299--其他固定资产贷款,6.99925606,,无,E4790--其他房屋建筑业,0.0,2330.67
2026-06-30,900000000055,A00055,宏泰能源股份有限公司,20240617000177P,936889729616-6,0103--正常3,0102--正常2,正常,正常,正常,2.0,中期,云南省,公司固定贷款,2026-06-30,昆明分行,00120,昆明市城北支行,"0108001,0140001,530103,00120",00120,301--已生效待下柜,2026-06-17,JB0519,2024-06-17,2026-08-16,,zxsq2024061700017YJ,tz20240617000176Y,tz202406110001772,FXQYF911L80304847501652057283052799118950,,,,1--是,900000000055,01--融资人,tz20240617000176Y,FXQYF911L80304847501652057283052799118950,,,,01700Y05,0--浮动值浮动,5--满季分段计息,1--按季计息,公司厂房按揭贷款,1010305--公司厂房按揭贷款,2001--单一债项,105030500,0700--连连贷,01--人民币,03--分期还款（不规则期限还款）,41003--非上市公司股权质押,C3849,C3849--其他电池制造,06,113201,113201--普通中期贷款,企业法人,重点客户,价值,174,530103--云南省--昆明市--盘龙区,B0101--私人相对控股,2024-06-18 10:51:11,2025-01-05 14:29:47,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,1010305--公司厂房按揭贷款,1.0,宏泰产业集团有限公司,有,C3849--其他电池制造,2668.06,4839.66
2026-06-30,900000000092,A00092,华盛物流有限公司,2025111800018J1,872444966194-2,0103--正常3,0101--正常1,正常,正常,正常,3.0,中期,甘肃省,公司固定贷款,2026-06-30,兰州分行,00120,兰州市高新支行,"0108001,0140001,620102,00120",00120,301--已生效待下柜,2028-11-18,JB7845,2025-11-18,2028-12-18,,zxsq20251118000186W,tz2025111800018BQ,tz2025111300018CP,FXQYF053L95025531917597188889989852055213,,,,1--是,900000000092,01--融资人,tz2025111800018BQ,FXQYF053L95025531917597188889989852055213,,,,01700Y01,0--浮动值浮动,1--不分段计息,0--按月计息,公司住房开发贷款,1010201--公司住房开发贷款,2002--组合债项,105020100,0100--正常申请,01--人民币,02--到期还款,306--在建工程,E5011,E5011--公共建筑装饰和装修,97,113202,113202--中期住房开发贷款,企业法人,风险客户,风险,171,620102--甘肃省--兰州市--城关区,A0102--国有绝对控股,2025-12-10 10:09:19,2026-02-23 13:03:09,0008--主合同(企金合同),1001--传统企金业务模板,1,CRM,0,0-不属于战略性新兴产业,1010201--公司住房开发贷款,1.0,,无,E5011--公共建筑装饰和装修,1632.43,2026.46
2026-06-30,900000000042,A00042,远景制造集团有限公司,2023050300019R8,620557150782-5,0101--正常1,0103--正常3,正常,正常,正常,1.0,短期,云南省,公司流动贷款,2026-06-30,昆明分行,00122,昆明市高新支行,"0108001,0140001,530103,00122",00122,301--已生效待下柜,2024-05-03,JB6656,2023-05-03,2024-05-03,,zxsq2023050300019TH,tz20230503000197P,tz2023042000019LO,FXQYF081L18997699183853836382984313832131,XYED2023050300000019,xytz2023050300019A9,xyht2023050300019FI,1--是,900000000042,01--融资人,tz20230503000197P,FXQYF081L18997699183853836382984313832131,,,,01700Y05,0--浮动值浮动,5--满季分段计息,1--按季计息,流动资金额度循环贷款,10107--流动资金额度循环贷款,2002--组合债项,105070000,0100--正常申请,01--人民币,0101--分期等额本金,30201--商业用地土地使用权抵押,F5165,F5165--建材批发,02,113101,113101--普通短期贷款,企业法人,成长客户,潜力,120,530103--云南省--昆明市--盘龙区,B0202--港澳台绝对控股,2023-07-15 15:53:49,2025-08-03 17:04:40,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,10107--流动资金额度循环贷款,1.0,,无,F5165--建材批发,2786.93,8319.2
2026-06-30,900000000009,A00009,嘉禾电子集团有限公司,2024011900020Q9,893938884907-1,0101--正常1,0101--正常1,正常,正常,正常,5.0,中期,内蒙古自治区,公司固定贷款,2026-06-30,呼和浩特分行,00122,呼和浩特市城北支行,"0108001,0140001,150102,00122",00122,301--已生效待下柜,2029-01-19,JB3584,2024-01-19,2029-01-19,,zxsq2024011900020MQ,tz2024011900020OT,tz2024010300020Z8,FXQYF648L63388781351618758290419103096376,XYED2024011900000020,xytz2024011900020L7,xyht2024011900020UQ,1--是,900000000009,01--融资人,tz2024011900020OT,FXQYF648L63388781351618758290419103096376,,,,01700Y05,0--浮动值浮动,5--满季分段计息,0--按月计息,公司住房开发贷款,1010201--公司住房开发贷款,2001--单一债项,105020100,0800--循环贷续作,01--人民币,02--到期还款,41302--收费权质押,C1469,C1469--其他调味品、发酵制品制造,12,113202,113202--中期住房开发贷款,企业法人,基础客户,长尾,159,150102--内蒙古自治区--呼和浩特市--新城区,B0202--港澳台绝对控股,2024-03-06 09:58:02,2025-07-09 18:22:42,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,1010201--公司住房开发贷款,1.0,众联产业集团有限公司,有,C1469--其他调味品、发酵制品制造,1677.72,2535.59
2026-06-30,900000000024,A00024,瑞达商贸有限公司,2025122700021T9,766323146781-3,0102--正常2,0101--正常1,正常,正常,正常,0.5,短期,贵州省,公司流动贷款,2026-06-30,贵阳分行,00136,贵阳市中心支行,"0108001,0140001,520115,00136",00136,302--已生效终止下柜,2026-06-27,JB0132,2025-12-27,2026-06-27,2026-07-09,zxsq2025122700021CU,tz2025122700021G7,tz20251225000219O,FXQYF258L00985884761562377083199868149733,,,,1--是,900000000024,01--融资人,tz2025122700021G7,FXQYF258L00985884761562377083199868149733,,,,01700Y05,0--浮动值浮动,1--不分段计息,1--按季计息,公司结算帐户透支,1010401--公司结算帐户透支,2001--单一债项,105040100,0100--正常申请,14--美元,02--到期还款,30102--商业用房抵押,C1469,C1469--其他调味品、发酵制品制造,76,125110,125110--单位结算账户透支,企业法人,成长客户,潜力,149,520115--贵州省--贵阳市--观山湖区,B0201--港澳台相对控股,2026-03-27 10:08:07,2026-05-28 14:51:09,0008--主合同(企金合同),1001--传统企金业务模板,1,LOAN_CORE,0,0-不属于战略性新兴产业,1010401--公司结算帐户透支,6.9103591235,新科产业集团有限公司,有,C1469--其他调味品、发酵制品制造,0.0,6031.82
